,number,value,datetime_start,datetime_complete,duration,params_addNoise,params_decay,params_dropout,params_gainDiv,params_nfft,params_normParam,state
79,79,82.36581420898438,2023-01-06 23:28:58.405331,2023-01-06 23:34:27.754916,0 days 00:05:29.349585,0.0003947968632607275,0.0008725478011080039,0.024864532129585122,0.00049094988634541,128,8,PRUNED
80,80,78.76923370361328,2023-01-06 23:34:27.754916,2023-01-06 23:39:06.193170,0 days 00:04:38.438254,0.006365045508183197,0.0025053943047515267,0.030863125465456068,0.007393701280172564,512,6,PRUNED
81,81,82.79657745361328,2023-01-06 23:39:06.193170,2023-01-06 23:43:03.050834,0 days 00:03:56.857664,0.26515470845124667,0.0002450097573590069,0.19447355133870708,0.00016810583617306866,128,9,PRUNED
82,82,80.78632354736328,2023-01-06 23:43:03.050834,2023-01-06 23:45:28.011400,0 days 00:02:24.960566,0.19065089430297097,0.0006614724426464476,0.36999063415337696,0.00021147550997290297,128,11,PRUNED
83,83,80.21196746826172,2023-01-06 23:45:28.011400,2023-01-06 23:48:34.381642,0 days 00:03:06.370242,0.18117892278849912,0.0014254740844374522,0.16966948390011832,0.00013702734475379128,256,7,PRUNED
84,84,80.29402160644531,2023-01-06 23:48:34.381642,2023-01-06 23:51:00.660006,0 days 00:02:26.278364,0.4602553306489268,0.00015240668132398424,0.23951929427351012,0.0022250211341371794,128,9,PRUNED
85,85,82.83077239990234,2023-01-06 23:51:00.660006,2023-01-06 23:55:52.153148,0 days 00:04:51.493142,0.3499430866506958,0.00011370698715172905,0.459461447953162,0.01189885685227945,384,12,PRUNED
86,86,79.03589630126953,2023-01-06 23:55:52.153148,2023-01-06 23:59:15.064298,0 days 00:03:22.911150,0.11009556769311589,0.00035584211231720316,0.056839462114134154,0.004766086218062887,256,10,PRUNED
87,87,79.16580963134766,2023-01-06 23:59:15.064298,2023-01-07 00:01:51.677193,0 days 00:02:36.612895,0.0007826654966249647,0.0018896227517605547,0.3220678181936982,0.0003774015863902161,768,4,PRUNED
88,88,80.47863006591797,2023-01-07 00:01:51.692786,2023-01-07 00:04:28.800729,0 days 00:02:37.107943,0.22104163175397235,0.0028803777799570394,0.22224131398879857,0.009334412215845222,128,5,PRUNED
89,89,81.55213928222656,2023-01-07 00:04:28.800729,2023-01-07 00:09:27.669177,0 days 00:04:58.868448,0.3683441085915672,0.011934475449246132,0.15001593303734362,0.0062616748680871205,896,8,PRUNED
90,90,67.37777709960938,2023-01-07 00:09:27.669177,2023-01-07 00:12:05.954853,0 days 00:02:38.285676,0.00015532945167108517,0.0011546125909753769,0.012762651959933034,0.03482343196920254,1024,2,PRUNED
91,91,69.33333587646484,2023-01-07 00:12:05.954853,2023-01-07 00:14:43.366092,0 days 00:02:37.411239,0.03515253557891513,0.0002827703000137045,0.09382369130176628,0.014215727901525785,512,3,PRUNED
92,92,48.22563934326172,2023-01-07 00:14:43.366092,2023-01-07 00:17:38.154494,0 days 00:02:54.788402,0.08016748356796569,0.00017309751443032452,0.12101380662572128,0.002861354520950531,384,1,PRUNED
93,93,68.97093963623047,2023-01-07 00:17:38.154494,2023-01-07 00:20:15.983911,0 days 00:02:37.829417,0.051382823428344014,0.00010169098860176231,0.07089050669249997,0.02034838313839161,640,3,PRUNED
94,94,82.0854721069336,2023-01-07 00:20:15.983911,2023-01-07 00:26:11.395352,0 days 00:05:55.411441,0.020175874746376485,0.0002215276311838491,0.09788339534906557,0.01096973073102208,512,5,PRUNED
95,95,78.35897064208984,2023-01-07 00:26:11.395352,2023-01-07 00:28:49.628385,0 days 00:02:38.233033,0.001132901020699575,0.0049009910352619855,0.10977680310686365,0.013243480600460864,768,4,PRUNED
96,96,84.75213623046875,2023-01-07 00:28:49.628385,2023-01-07 00:36:21.619713,0 days 00:07:31.991328,0.0021519971268657762,0.00043860520054352,0.2554234031627895,0.0018891360300035622,640,6,PRUNED
97,97,62.02393341064453,2023-01-07 00:36:21.619713,2023-01-07 00:38:59.645416,0 days 00:02:38.025703,0.0015692875886913066,0.006313430331001497,0.14481833572345112,0.0008628822100397511,768,2,PRUNED
98,98,68.0820541381836,2023-01-07 00:38:59.645416,2023-01-07 00:41:37.249463,0 days 00:02:37.604047,0.0002293467987252116,0.0008022071770964432,0.021255691597674754,0.008173724006791203,512,3,PRUNED
99,99,76.38973999023438,2023-01-07 00:41:37.249463,2023-01-07 00:44:13.788057,0 days 00:02:36.538594,0.014152449560112456,0.0001791689050041997,0.40852004307316914,0.005488744234866867,128,4,PRUNED
